date,slot_id,period,checkpoint,checkpoint_time,camera,status,source_file,output_file,window_start,window_end,offset_seconds,duration_seconds
2026-06-22,MON_P3,P3,CP1_1100,11:00:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622105000_20260622110041_16449796.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP1_1100\back.mp4,11:00:00,11:00:20,600.0,20.0
2026-06-22,MON_P3,P3,CP1_1100,11:00:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622105000_20260622112603_15637382.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP1_1100\front.mp4,11:00:00,11:00:20,600.0,20.0
2026-06-22,MON_P3,P3,CP2_1110,11:10:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622110041_20260622114839_16510545.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP2_1110\back.mp4,11:10:00,11:10:20,559.0,20.0
2026-06-22,MON_P3,P3,CP2_1110,11:10:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622105000_20260622112603_15637382.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP2_1110\front.mp4,11:10:00,11:10:20,1200.0,20.0
2026-06-22,MON_P3,P3,CP3_1120,11:20:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622110041_20260622114839_16510545.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP3_1120\back.mp4,11:20:00,11:20:20,1159.0,20.0
2026-06-22,MON_P3,P3,CP3_1120,11:20:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622105000_20260622112603_15637382.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP3_1120\front.mp4,11:20:00,11:20:20,1800.0,20.0
2026-06-22,MON_P3,P3,CP4_1130,11:30:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622110041_20260622114839_16510545.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP4_1130\back.mp4,11:30:00,11:30:20,1759.0,20.0
2026-06-22,MON_P3,P3,CP4_1130,11:30:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622112603_20260622121433_15832587.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP4_1130\front.mp4,11:30:00,11:30:20,237.0,20.0
2026-06-22,MON_P3,P3,CP5_1140,11:40:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622110041_20260622114839_16510545.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP5_1140\back.mp4,11:39:40,11:40:00,2339.0,20.0
2026-06-22,MON_P3,P3,CP5_1140,11:40:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622112603_20260622121433_15832587.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P3\CP5_1140\front.mp4,11:39:40,11:40:00,817.0,20.0
