slot_id,period,subject,start_time,end_time,planned_checkpoints,available_checkpoints,camera_count,clips_extracted,skipped_camera_windows,prepared_dir,current_slot_dir,manifest_csv
TUE_P1,P1,CCM/CVO,09:00,09:50,5,5,2,10,0,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\TUE_P1,F:\sohail\Class_Attendance_YuNet_SFace\data\prepared_real_slot_2026-06-30_TUE_P1.csv
TUE_P2,P2,CCM/CVO,09:50,10:40,5,5,2,10,0,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\TUE_P2,F:\sohail\Class_Attendance_YuNet_SFace\data\prepared_real_slot_2026-06-30_TUE_P2.csv
