date,slot_id,period,checkpoint,checkpoint_time,camera,status,source_file,output_file,window_start,window_end,offset_seconds,duration_seconds
2026-06-30,TUE_P1,P1,CP1_0910,09:10:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630090000_20260630091041_19720445.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP1_0910\back.mp4,09:10:00,09:10:20,600.0,20.0
2026-06-30,TUE_P1,P1,CP1_0910,09:10:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630085959_20260630094611_18673412.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP1_0910\front.mp4,09:10:00,09:10:20,601.0,20.0
2026-06-30,TUE_P1,P1,CP2_0920,09:20:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630091041_20260630095806_19789347.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP2_0920\back.mp4,09:20:00,09:20:20,559.0,20.0
2026-06-30,TUE_P1,P1,CP2_0920,09:20:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630085959_20260630094611_18673412.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP2_0920\front.mp4,09:20:00,09:20:20,1201.0,20.0
2026-06-30,TUE_P1,P1,CP3_0930,09:30:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630091041_20260630095806_19789347.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP3_0930\back.mp4,09:30:00,09:30:20,1159.0,20.0
2026-06-30,TUE_P1,P1,CP3_0930,09:30:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630085959_20260630094611_18673412.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP3_0930\front.mp4,09:30:00,09:30:20,1801.0,20.0
2026-06-30,TUE_P1,P1,CP4_0940,09:40:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630091041_20260630095806_19789347.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP4_0940\back.mp4,09:40:00,09:40:20,1759.0,20.0
2026-06-30,TUE_P1,P1,CP4_0940,09:40:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630085959_20260630094611_18673412.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP4_0940\front.mp4,09:40:00,09:40:20,2401.0,20.0
2026-06-30,TUE_P1,P1,CP5_0950,09:50:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630091041_20260630095806_19789347.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP5_0950\back.mp4,09:49:40,09:50:00,2339.0,20.0
2026-06-30,TUE_P1,P1,CP5_0950,09:50:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630094611_20260630103417_18923380.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P1\CP5_0950\front.mp4,09:49:40,09:50:00,209.0,20.0
